Bin Start
003, 2008-11-27 22:40:00, 5,78,1,82,84,5,0,0,78,0,0,0,0, Video OK
004, 2008-11-27 22:40:00, 2,76,0,63,66,2,0,0,76,0,0,0,0, Video OK
001, 2008-11-27 22:41:00, 1,85,1,600,600,1,0,0,85,0,0,0,0, Video OK
002, 2008-11-27 22:41:00, 3,74,1,122,124,3,0,0,74,0,0,0,0, Video OK
003, 2008-11-27 22:41:00, 2,57,2,83,87,2,0,0,57,0,0,0,0, Video OK
004, 2008-11-27 22:41:00, 3,76,1,333,333,3,0,0,76,0,0,0,0, Video OK
001, 2008-11-27 22:42:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
002, 2008-11-27 22:42:00, 3,64,1,298,299,3,0,0,64,0,0,0,0, Video OK
003, 2008-11-27 22:42:00, 5,73,4,202,204,5,0,0,73,0,0,0,0, Video OK
004, 2008-11-27 22:42:00, 2,85,0,400,400,2,0,0,85,0,0,0,0, Video OK
001, 2008-11-27 22:43:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
002, 2008-11-27 22:43:00, 5,79,1,36,38,5,0,0,79,0,0,0,0, Video OK
003, 2008-11-27 22:43:00, 2,70,0,44,47,2,0,0,70,0,0,0,0, Video OK
004, 2008-11-27 22:43:00, 6,76,3,50,59,6,0,0,76,0,0,0,0, Video OK
001, 2008-11-27 22:44:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
002, 2008-11-27 22:44:00, 4,76,2,71,73,4,0,0,76,0,0,0,0, Video OK
003, 2008-11-27 22:44:00, 4,75,0,202,203,4,0,0,75,0,0,0,0, Video OK
004, 2008-11-27 22:44:00, 1,72,0,600,600,1,0,0,72,0,0,0,0, Video OK
001, 2008-11-27 22:45:00, 1,47,0,600,600,1,0,0,47,0,0,0,0, Video OK
002, 2008-11-27 22:45:00, 4,76,1,225,227,4,0,0,76,0,0,0,0, Video OK
003, 2008-11-27 22:45:00, 1,85,0,600,600,1,0,0,85,0,0,0,0, Video OK
004, 2008-11-27 22:45:00, 2,80,0,400,400,2,0,0,80,0,0,0,0, Video OK
001, 2008-11-27 22:46:00, 1,76,1,600,600,1,0,0,76,0,0,0,0, Video OK
002, 2008-11-27 22:46:00, 1,72,0,600,600,1,0,0,72,0,0,0,0, Video OK
003, 2008-11-27 22:46:00, 4,69,0,168,168,4,0,0,69,0,0,0,0, Video OK
004, 2008-11-27 22:46:00, 2,81,0,400,400,2,0,0,81,0,0,0,0, Video OK
001, 2008-11-27 22:47:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
002, 2008-11-27 22:47:00, 6,72,3,79,81,6,0,0,72,0,0,0,0, Video OK
003, 2008-11-27 22:47:00, 2,72,0,44,44,2,0,0,72,0,0,0,0, Video OK
004, 2008-11-27 22:47:00, 4,77,3,74,77,4,0,0,77,0,0,0,0, Video OK
001, 2008-11-27 22:48:00, 2,80,0,400,400,2,0,0,80,0,0,0,0, Video OK
002, 2008-11-27 22:48:00, 1,68,1,600,600,1,0,0,68,0,0,0,0, Video OK
003, 2008-11-27 22:48:00, 4,80,2,77,78,4,0,0,80,0,0,0,0, Video OK
004, 2008-11-27 22:48:00, 2,74,1,400,400,2,0,0,74,0,0,0,0, Video OK
001, 2008-11-27 22:49:00, 1,85,0,600,600,1,0,0,85,0,0,0,0, Video OK
002, 2008-11-27 22:49:00, 2,66,1,400,400,2,0,0,66,0,0,0,0, Video OK
003, 2008-11-27 22:49:00, 3,75,0,200,202,3,0,0,75,0,0,0,0, Video OK
004, 2008-11-27 22:49:00, 1,72,0,600,600,1,0,0,72,0,0,0,0, Video OK
001, 2008-11-27 22:50:00, 2,72,0,400,400,2,0,0,72,0,0,0,0, Video OK
002, 2008-11-27 22:50:00, 2,78,0,400,400,2,0,0,78,0,0,0,0, Video OK
003, 2008-11-27 22:50:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
004, 2008-11-27 22:50:00, 1,73,0,600,600,1,0,0,73,0,0,0,0, Video OK
001, 2008-11-27 22:51:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
002, 2008-11-27 22:51:00, 1,64,0,600,600,1,0,0,64,0,0,0,0, Video OK
003, 2008-11-27 22:51:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
004, 2008-11-27 22:51:00, 1,68,0,600,600,1,0,0,68,0,0,0,0, Video OK
001, 2008-11-27 22:52:00, 1,68,0,600,600,1,0,0,68,0,0,0,0, Video OK
002, 2008-11-27 22:52:00, 4,74,0,186,187,4,0,0,74,0,0,0,0, Video OK
003, 2008-11-27 22:52:00, 1,68,0,600,600,1,0,0,68,0,0,0,0, Video OK
004, 2008-11-27 22:52:00, 1,64,0,600,600,1,0,0,64,0,0,0,0, Video OK
001, 2008-11-27 22:53:00, 1,72,0,600,600,1,0,0,72,0,0,0,0, Video OK
002, 2008-11-27 22:53:00, 1,72,1,600,600,1,0,0,72,0,0,0,0, Video OK
003, 2008-11-27 22:53:00, 2,76,1,3,5,2,0,0,76,0,0,0,0, Video OK
004, 2008-11-27 22:53:00, 1,72,0,600,600,1,0,0,72,0,0,0,0, Video OK
001, 2008-11-27 22:54:00, 1,76,0,600,600,1,0,0,76,0,0,0,0, Video OK
002, 2008-11-27 22:54:00, 2,78,0,400,400,2,0,0,78,0,0,0,0, Video OK
003, 2008-11-27 22:54:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
004, 2008-11-27 22:54:00, 3,80,0,213,214,3,0,0,80,0,0,0,0, Video OK
001, 2008-11-27 22:55:00, 2,80,0,400,400,2,0,0,80,0,0,0,0, Video OK
002, 2008-11-27 22:55:00, 6,72,1,47,48,6,0,0,72,0,0,0,0, Video OK
003, 2008-11-27 22:55:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
004, 2008-11-27 22:55:00, 0,0,0,600,600,0,0,0,0,0,0,0,0, Video OK
